Build completed successfully.
2026/06/04 11:26:29 socat[1638001] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:32:23 socat[1640033] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:32:23 socat[1640038] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:32:59 socat[1640161] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:32:59 socat[1640172] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:32:59 socat[1640178] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:00 socat[1640184] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:00 socat[1640190] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:00 socat[1640196] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:00 socat[1640202] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:00 socat[1640208] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:00 socat[1640216] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:00 socat[1640222] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:00 socat[1640228] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:01 socat[1640236] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:01 socat[1640242] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:01 socat[1640248] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:01 socat[1640254] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:01 socat[1640260] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:01 socat[1640266] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:01 socat[1640272] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:01 socat[1640278] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:01 socat[1640284] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:02 socat[1640290] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:02 socat[1640296] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:02 socat[1640302] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:02 socat[1640308] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:02 socat[1640314] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:02 socat[1640320] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:02 socat[1640326] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:02 socat[1640332] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:03 socat[1640338] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:03 socat[1640346] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:03 socat[1640352] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:03 socat[1640358] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:03 socat[1640364] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:03 socat[1640372] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:03 socat[1640378] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:03 socat[1640384] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:04 socat[1640390] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:04 socat[1640396] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:04 socat[1640402] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:04 socat[1640408] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:04 socat[1640414] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:04 socat[1640420] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:04 socat[1640426] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:04 socat[1640432] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:04 socat[1640438] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:05 socat[1640444] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:05 socat[1640450] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:05 socat[1640456] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:05 socat[1640462] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:05 socat[1640468] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:05 socat[1640475] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:49 socat[1640551] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:49 socat[1640568] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:49 socat[1640574] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:49 socat[1640580] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:49 socat[1640586] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:49 socat[1640592] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:49 socat[1640604] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:50 socat[1640612] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:50 socat[1640619] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:50 socat[1640628] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:50 socat[1640635] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:50 socat[1640644] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:50 socat[1640652] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:50 socat[1640663] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:50 socat[1640669] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:51 socat[1640676] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:51 socat[1640683] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:51 socat[1640690] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:51 socat[1640699] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:51 socat[1640706] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:51 socat[1640712] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:51 socat[1640722] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:51 socat[1640729] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:51 socat[1640737] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:52 socat[1640750] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:52 socat[1640760] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:52 socat[1640766] E read(5, 0x61228fc95000, 8192): Connection reset by peer
